,player name,proba (%) for any vote,MVP Probability (%)
0,Nikola Jokic,98.4,0.35017793594306046
3,Stephen Curry,67.10000000000001,0.2387900355871886
1,Fred VanVleet,62.2,0.22135231316725976
4,Giannis Antetokounmpo,53.300000000000004,0.1896797153024911
