,name,proba (%),box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
199,Bojan Bogdanovic,1.3,1.0,-2.7,-1.7,-0.4,-2.6,-3.0,0.7,-2.9,-2.2,0.4
200,Bruce Brown,0.7000000000000001,-1.4,0.8,-0.7,-4.3,-0.9,-5.1,-2.1,0.5,-1.7,0.4
201,Jaden McDaniels,0.4,-2.8,1.8,-1.0,-5.1,-0.6,-5.7,-3.5,1.4,-2.1,0.4
202,Norman Powell,1.4000000000000001,1.1,-2.1,-1.1,1.1,-7.2,-6.1,1.1,-3.3,-2.1,0.4
203,Bogdan Bogdanovic,1.2,0.5,-2.1,-1.6,-0.2,-2.5,-2.7,0.3,-2.3,-2.0,0.3
204,Facundo Campazzo,0.5,-0.2,0.9,0.7,-9.6,-4.0,-13.6,-2.2,0.0,-2.2,0.3
205,Josh Giddey,0.6,-1.5,0.1,-1.3,-2.6,-3.5,-6.2,-1.7,-0.6,-2.3,0.3
206,Tobias Harris,1.0999999999999999,0.4,-2.3,-1.9,0.6,-3.5,-2.9,0.5,-2.7,-2.3,0.3
207,Josh Richardson,1.0999999999999999,0.1,-2.1,-2.0,0.5,-2.4,-1.9,0.2,-2.3,-2.1,0.3
208,Mason Plumlee,0.5,-2.3,-0.4,-2.7,-3.6,2.9,-0.7,-2.7,0.3,-2.4,0.2
209,Obi Toppin,0.8,-2.0,-2.4,-4.4,3.0,4.0,7.0,-1.1,-1.2,-2.3,0.2
210,P.J. Washington,0.8999999999999999,-0.7,-2.5,-3.2,1.0,1.0,2.0,-0.4,-1.9,-2.3,0.2
211,Ayo Dosunmu,0.6,-1.1,-0.9,-2.0,-3.8,-0.2,-3.9,-1.7,-0.8,-2.5,0.1
212,Jerami Grant,0.6,-0.2,-1.8,-2.0,-6.6,1.9,-4.7,-1.4,-1.1,-2.5,0.1
213,Josh Jackson,0.8,-1.2,-1.0,-2.3,1.4,-4.3,-2.9,-0.7,-1.7,-2.4,0.1
214,Kyle Kuzma,0.6,-1.9,-0.2,-2.1,0.2,-4.3,-4.1,-1.6,-1.0,-2.6,0.1
215,Lonnie Walker IV,0.6,-1.6,-1.2,-2.8,-0.9,-0.3,-1.2,-1.6,-1.1,-2.6,0.1
216,Oshae Brissett,0.6,-1.2,-1.4,-2.6,-1.3,-1.6,-3.0,-1.3,-1.6,-2.8,0.0
217,Chuma Okeke,0.3,-2.9,1.1,-1.9,-7.8,1.2,-6.6,-4.0,1.2,-2.9,0.0
218,Gary Harris,0.6,-1.2,-1.7,-2.9,-0.7,-1.8,-2.4,-1.1,-1.8,-2.9,-0.1
219,Chimezie Metu,0.3,-3.5,0.0,-3.6,-0.2,-0.2,-0.4,-3.1,0.0,-3.1,-0.1
220,Russell Westbrook,0.6,-0.6,-2.1,-2.7,-2.7,-0.4,-3.1,-1.1,-1.8,-2.9,-0.1
221,Avery Bradley,0.4,-2.1,-1.4,-3.5,-2.4,1.3,-1.1,-2.3,-0.9,-3.2,-0.2
222,Damion Lee,0.4,-2.4,-0.4,-2.8,-3.2,0.0,-3.2,-2.7,-0.5,-3.2,-0.2
223,Coby White,0.8,0.2,-3.2,-3.0,1.2,-4.0,-2.7,0.4,-3.6,-3.2,-0.2
224,Cade Cunningham,0.4,-2.6,-1.2,-3.9,1.2,-2.3,-1.1,-1.8,-1.5,-3.3,-0.3
225,De'Aaron Fox,0.8999999999999999,0.5,-3.1,-2.6,0.8,-5.5,-4.7,0.6,-3.7,-3.1,-0.3
226,Marcus Morris Sr.,0.8,0.2,-3.7,-3.5,1.3,-3.8,-2.5,0.5,-3.9,-3.5,-0.3
227,Saddiq Bey,0.5,-0.9,-1.7,-2.6,-1.7,-4.0,-5.7,-1.0,-2.3,-3.3,-0.4
228,Svi Mykhailiuk,0.3,-1.7,-1.6,-3.3,-4.3,-1.5,-5.8,-2.3,-1.7,-4.1,-0.4
229,Jordan Nwora,0.3,-2.8,-0.7,-3.5,-2.1,-0.9,-3.0,-2.8,-0.8,-3.7,-0.4
230,Malik Beasley,0.5,-0.1,-2.8,-2.9,-4.3,-1.2,-5.5,-1.0,-2.6,-3.6,-0.5
231,Frank Jackson,0.4,-1.0,-3.3,-4.3,-3.2,0.4,-2.9,-1.4,-2.7,-4.1,-0.5
232,Naz Reid,0.2,-2.1,-1.1,-3.3,-6.1,0.2,-5.9,-3.1,-1.0,-4.1,-0.5
233,Garrett Temple,0.2,-1.5,0.5,-1.0,-8.4,-6.0,-14.4,-3.0,-0.8,-3.8,-0.5
234,Mo Bamba,0.2,-2.6,-0.4,-3.0,-6.4,-0.6,-7.0,-3.5,-0.4,-3.9,-0.6
235,Isaiah Stewart,0.2,-3.8,0.7,-3.1,-7.1,0.3,-6.8,-4.6,0.7,-4.0,-0.6
236,Jeff Green,0.3,-2.2,-1.9,-4.1,-0.5,-2.3,-2.8,-1.9,-2.1,-4.1,-0.7
237,Talen Horton-Tucker,0.2,-3.5,-1.0,-4.5,-2.5,0.1,-2.4,-3.5,-0.9,-4.3,-0.7
238,Cam Reddish,0.2,-1.4,-0.8,-2.2,-7.9,-4.0,-11.9,-2.9,-1.5,-4.4,-0.7
239,Austin Rivers,0.2,-2.7,-2.8,-5.5,-1.5,0.1,-1.4,-2.6,-2.4,-5.0,-0.7
240,Jeremiah Robinson-Earl,0.2,-4.1,0.0,-4.1,-2.9,-1.0,-4.0,-4.1,-0.2,-4.3,-0.7
241,Bryn Forbes,0.3,-0.6,-4.1,-4.7,-3.7,-1.3,-4.9,-1.3,-3.8,-5.0,-0.8
242,R.J. Hampton,0.2,-2.5,-0.6,-3.1,-7.8,-2.2,-10.0,-3.6,-1.0,-4.6,-0.8
243,Killian Hayes,0.2,-3.7,-0.7,-4.4,-3.1,-1.0,-4.1,-3.7,-0.8,-4.5,-0.8
244,Nickeil Alexander-Walker,0.3,-1.9,-2.0,-4.0,-1.7,-3.4,-5.1,-2.0,-2.4,-4.4,-0.9
245,Doug McDermott,0.4,-0.2,-4.6,-4.8,1.3,-5.0,-3.8,0.1,-5.0,-4.9,-0.9
246,Terrence Ross,0.3,0.0,-3.4,-3.4,-4.6,-4.4,-9.0,-0.9,-3.8,-4.6,-1.0
247,Julius Randle,0.2,-2.3,-1.4,-3.7,-4.3,-2.5,-6.9,-2.8,-1.7,-4.5,-1.5
248,Darius Bazley,0.1,-4.6,-1.3,-5.9,-4.3,-3.5,-7.8,-4.7,-1.8,-6.5,-2.0
249,Jalen Green,0.0,-3.3,-3.8,-7.1,-8.9,-4.7,-13.6,-4.6,-4.2,-8.7,-2.9
