,name,proba (%),box off,box def,box total,onoff off,onoff def,onoff total,raptor off,raptor def,raptor total,war
117,Hamidou Diallo,2.4,-0.5,0.9,0.4,-0.6,3.2,2.5,-0.4,1.4,1.0,1.7
118,Andre Drummond,1.9,-2.3,3.8,1.6,0.0,1.4,1.4,-1.9,3.6,1.6,1.7
119,Tim Hardaway Jr.,2.5,0.6,-0.2,0.4,0.8,-2.7,-2.0,0.7,-0.8,-0.1,1.7
120,Reggie Jackson,1.7999999999999998,-1.0,0.3,-0.7,1.7,-0.5,1.2,-0.4,0.1,-0.3,1.7
121,Keldon Johnson,1.9,-0.2,-0.5,-0.7,-0.1,1.4,1.3,-0.2,-0.1,-0.3,1.7
122,Anfernee Simons,4.7,2.1,-2.9,-0.8,3.8,0.4,4.2,2.6,-2.4,0.2,1.7
123,Gabe Vincent,2.5,-0.3,1.5,1.2,-1.6,2.5,0.9,-0.6,1.7,1.1,1.7
124,Nikola Vucevic,1.3,-2.2,2.5,0.3,0.2,-1.2,-1.1,-1.9,1.9,0.0,1.7
125,DeAndre' Bembry,2.6,-0.5,1.8,1.3,0.5,0.1,0.6,-0.4,1.6,1.2,1.6
126,Brandon Clarke,7.3,2.2,-0.5,1.7,2.8,1.5,4.3,2.5,-0.2,2.3,1.6
127,Spencer Dinwiddie,3.1,2.0,-2.3,-0.3,-1.3,2.0,0.7,1.4,-1.5,-0.1,1.6
128,Danny Green,3.0,-0.9,2.1,1.2,0.8,3.5,4.3,-0.6,2.5,1.9,1.6
129,Tyus Jones,3.6999999999999997,1.9,-1.7,0.2,-1.1,3.4,2.3,1.4,-0.8,0.6,1.6
130,Luke Kennard,2.8000000000000003,0.7,-1.2,-0.6,1.0,2.1,3.1,0.8,-0.7,0.2,1.6
131,John Konchar,4.1000000000000005,1.7,0.2,1.9,-1.8,1.5,-0.3,1.0,0.5,1.5,1.6
132,Tyrese Maxey,2.5,1.1,-1.3,-0.1,0.6,-2.3,-1.7,1.1,-1.6,-0.5,1.6
133,Jae'Sean Tate,1.6,-0.4,0.7,0.3,-2.7,0.5,-2.2,-0.8,0.7,-0.1,1.6
134,Carmelo Anthony,3.0,1.1,-1.9,-0.8,2.5,-0.4,2.1,1.5,-1.7,-0.2,1.5
135,Will Barton,1.7999999999999998,0.5,-0.5,0.1,-2.6,-0.2,-2.8,-0.1,-0.4,-0.5,1.5
136,Reggie Bullock,1.7999999999999998,-1.7,0.5,-1.2,0.7,6.7,7.4,-1.3,1.8,0.5,1.5
137,Amir Coffey,3.6999999999999997,1.0,0.3,1.2,0.0,1.1,1.2,0.9,0.4,1.3,1.5
138,Devonte' Graham,3.2,1.0,-2.6,-1.5,4.9,-1.0,3.9,1.9,-2.4,-0.4,1.5
139,Kevin Huerter,2.5,-0.2,-2.0,-2.2,3.8,4.0,7.8,0.6,-0.8,-0.2,1.5
140,Cory Joseph,2.8000000000000003,0.0,0.4,0.4,1.4,0.5,1.8,0.3,0.5,0.8,1.5
141,Maxi Kleber,1.5,-2.5,3.6,1.1,-1.1,2.1,1.0,-2.4,3.4,1.1,1.5
142,Nassir Little,2.0,-0.6,0.3,-0.4,0.9,1.0,1.8,-0.4,0.5,0.1,1.5
143,Jordan Poole,2.0,0.5,-0.8,-0.3,-2.2,2.8,0.5,-0.1,-0.2,-0.3,1.5
144,Javonte Green,2.7,-1.2,1.8,0.7,2.9,1.3,4.3,-0.4,1.8,1.5,1.4
145,Duncan Robinson,2.0,0.8,-0.9,-0.1,-1.4,-0.4,-1.8,0.4,-0.9,-0.5,1.4
146,Dennis Schroder,1.5,-0.3,-0.1,-0.4,-1.5,0.1,-1.4,-0.5,-0.1,-0.6,1.4
147,Ivica Zubac,1.7999999999999998,-0.5,1.5,1.0,1.1,-6.3,-5.3,-0.2,0.0,-0.2,1.4
148,Gordon Hayward,1.9,0.5,-1.7,-1.2,1.4,-1.4,0.0,0.6,-1.7,-1.1,1.3
